date,customer_id,event
2025-07-16,C100742,email_open
2025-01-16,C100224,push_open
2025-09-17,C100840,web_visit
2024-12-30,C100057,email_open
2025-05-13,C101004,push_click
2024-11-13,C100891,web_visit
2024-11-15,C100638,web_visit
2025-02-20,C100189,push_open
2025-08-28,C100191,email_click
2025-07-17,C100877,push_open
2025-07-27,C100231,push_open
2024-12-13,C101108,email_click
2024-12-28,C100573,push_open
2024-12-09,C100854,email_click
2025-06-09,C100430,web_visit
2025-01-13,C100023,email_click
2025-09-13,C101068,push_open
2025-01-14,C100592,email_click
2025-02-14,C101046,push_open
2025-08-18,C100119,email_open
2025-09-30,C100642,web_visit
2025-10-06,C100965,email_click
2025-05-21,C101151,web_visit
2025-09-17,C101061,web_visit
2025-08-28,C100475,push_click
2025-02-21,C100692,email_click
2025-02-14,C101140,web_visit
2025-01-31,C100003,push_open
2025-07-23,C100421,email_open
2025-02-28,C100459,web_visit
2025-09-15,C100787,email_click
2025-07-31,C100486,web_visit
2025-09-25,C100670,email_click
2024-11-14,C100292,web_visit
2024-12-09,C101122,email_click
2025-03-22,C100619,email_click
2025-05-19,C100870,email_click
2024-11-26,C100470,email_click
2025-07-25,C101029,email_open
2025-01-14,C100786,push_open
2025-03-26,C101019,push_open
2025-07-17,C100890,web_visit
2025-08-27,C101094,push_open
2025-01-03,C100538,web_visit
2025-01-28,C100937,push_click
2024-10-10,C100497,email_click
2025-09-16,C100044,email_open
2025-09-15,C100313,email_open
2025-01-20,C100869,email_click
2025-03-09,C100041,email_click
2025-05-27,C100414,push_open
2025-01-13,C100861,push_open
2025-03-01,C100466,push_open
2025-04-15,C101099,push_open
2025-09-27,C100971,push_click
2025-05-20,C101165,email_open
2025-01-16,C100717,push_click
2025-07-06,C100633,email_click
2025-01-22,C100666,push_click
2025-04-03,C100752,push_open
2025-08-05,C100836,push_click
2025-07-23,C100865,email_open
2025-01-26,C100157,web_visit
2025-02-19,C100926,email_click
2025-04-12,C101040,email_click
2025-06-09,C100521,email_open
2025-01-03,C101155,email_open
2025-01-28,C100056,email_click
2025-06-07,C100017,push_click
2025-07-28,C100597,email_open
2025-03-08,C100969,push_click
2025-01-05,C100718,email_open
2024-11-14,C100084,email_open
2025-09-04,C100519,web_visit
2025-03-10,C100678,email_open
2025-07-09,C100329,push_click
2025-05-30,C100134,push_open
2024-12-08,C100989,email_click
2025-01-20,C100866,push_open
2025-03-16,C101125,email_click
2025-09-22,C100559,web_visit
2025-05-11,C100966,push_open
2024-11-22,C100136,push_open
2025-07-16,C100339,email_click
2024-11-11,C100549,web_visit
2025-02-14,C100035,push_open
2025-10-05,C100963,push_open
2025-02-15,C100596,email_click
2025-03-09,C100021,email_click
2025-05-31,C101102,push_click
2024-10-08,C100939,email_open
2025-08-10,C100809,push_open
2025-09-08,C100622,push_click
2025-05-06,C100796,web_visit
2025-02-17,C100646,email_open
